Species	Species_status	Genus	Genus_status	max_ma	min_ma	site	paleolat	Referência
Sanajeh indicus	extinct	Sanajeh	extinct	72.1	66	61499	-	Zaher, H., Mohabey, D. M., Grazziotin, F. G., & Wilson Mantilla, J. A. (2023). The skull of Sanajeh indicus, a Cretaceous snake with an upper temporal bar, and the origin of ophidian wide-gaped feeding. Zoological Journal of the Linnean Society, 197(3), 656-697.
Agkistrodon piscivorous	extant	Agkistrodon	extant	0.129	0.0082	20	-	Jessee, L. D. (2023). Geometric Morphometric Analysis of Modern Viperid Vertebrae Facilitates Identification of Fossil Specimens (Master's thesis, East Tennessee State University).
Lampropeltis similis	extinct	Lampropeltis	extant	12.5	12	11118	-	Rumford, J. Fossil Snakes of Penny Creek.
Heterodon meadi	extinct	Heterodon	extant	10.3	4.9	111113	-	Jurestovsky, D. J. (2021). Small colubroids from the Late Hemphillian Gray fossil site of northeastern Tennessee. Journal of Herpetology, 55(4), 422-431.
Paleoheterodon arcuatus	extinct	Paleoheterodon	extinct	11.63	5.333	11116	-	Villa, A., & Delfino, M. GLI ANFIBI EI RETTILI DI CAVA MONTICINO (BRISIGHELLA, RA). La fauna messiniana di Cava Monticino, 55.
Seismophis septentrionalis	extinct	Seismophis	extinct	121.4	100.5	111112	-0,943	ARAUJO, A. C. C. (2022). Fósseis de serpentes (ophidia, squamata) da falésia do sismito, formação Alcântara (albiano/cenomaniano, cretáceo), do Maranhão.
Najash rionegrina	extinct	Najash	extinct	94	92	11112	-37,77	Garberoglio, F. F. (2021). Anatomía y relaciones filogenéticas de Najash rionegrina Apesteguía y Zaher, 2006 (holotipo y nuevos especímenes): un taxón clave en la evolución de las serpientes (Doctoral dissertation, Universidad de Buenos Aires).
Vipera Berus	extant	Vipera	extant	0.037	0.0306	11115	-	Ratnikov, V. Y., & Shiyan, N. A. (2023, December). Late Pleistocene Herpetofauna from Oblazova Cave (Polish Carpathians): Additional Collection. In Doklady Earth Sciences (Vol. 513, No. Suppl 2, pp. S265-S276). Moscow: Pleiades Publishing.
Natrix natrix	extant	Natrix	extant	0.037	0.0306	11115	-	Ratnikov, V. Y., & Shiyan, N. A. (2023, December). Late Pleistocene Herpetofauna from Oblazova Cave (Polish Carpathians): Additional Collection. In Doklady Earth Sciences (Vol. 513, No. Suppl 2, pp. S265-S276). Moscow: Pleiades Publishing.
Platyspondylia lepta	extinct	Platyspondylia	extinct	27.82	23.03	11111	-	Ratnikov, V. Y., & Shiyan, N. A. (2023, December). Late Pleistocene Herpetofauna from Oblazova Cave (Polish Carpathians): Additional Collection. In Doklady Earth Sciences (Vol. 513, No. Suppl 2, pp. S265-S276). Moscow: Pleiades Publishing.
