Taxon,Region,MinAge,MaxAge,Locality
Crotalus_viridis,NorthAmerica,0,0.21,84904
Carphophis_amoenus,NorthAmerica,0,2.58,123875
Coluber_constrictor,NorthAmerica,0,2.58,123875
Lampropeltis_triangulum,NorthAmerica,0,2.58,123875
Coluber_constrictor,NorthAmerica,0,2.58,124319
Heterodon_platyrhinos,NorthAmerica,0,2.58,124319
Lampropeltis_triangulum,NorthAmerica,0,2.58,124319
Pantherophis_vulpinus,NorthAmerica,0,2.58,124319
Sistrurus_catenatus,NorthAmerica,0,2.58,124319
Carphophis_amoenus,NorthAmerica,0,2.58,125951
Lampropeltis_triangulum,NorthAmerica,0,2.58,125951
Hierophis_viridiflavus,Europe,0,2.58,206584
Hierophis_viridiflavus,Europe,0,2.58,206585
Hierophis_viridiflavus,Europe,0,2.58,206586
Malpolon_monspessulanus,Europe,0,2.58,195260
Coronella_girondica,Europe,0,2.58,206172
Coronella_austriaca,Europe,0,2.58,33874
Coronella_austriaca,Europe,0,2.58,34192
Coronella_austriaca,Europe,0,2.58,34920
Coronella_austriaca,Europe,0,2.58,48543
Coronella_austriaca,Europe,0,2.58,195226
Zamenis_longissimus,Europe,0,2.58,33874
Rhabdophis_tigrinus,Asia,0,2.58,206107
Rhabdophis_tigrinus,Asia,0,2.58,206121
Python_sebae,Africa,0,2.58,185616
Wonambi_naracoortensis,Australia,0,2.58,28298
Wonambi_naracoortensis,Australia,0,2.58,96021
Wonambi_naracoortensis,Australia,0,2.58,135983
Wonambi_naracoortensis,Australia,0,2.58,136159
Wonambi_naracoortensis,Australia,0,2.58,136222
Pseudechis_porphyriacus,Australia,0,2.58,136430
Pseudonaja_nuchalis,Australia,0,2.58,136430
Crotalus_horridus,NorthAmerica,0,2.58,123875
Nerodia_sipedon,NorthAmerica,0,2.58,123875
Crotalus_horridus,NorthAmerica,0,2.58,124319
Nerodia_sipedon,NorthAmerica,0,2.58,124319
Nerodia_sipedon,NorthAmerica,0,2.58,125951
Crotalus_adamanteus,NorthAmerica,0,2.58,180345
Natrix_natrix,Europe,0,2.58,33874
Vipera_berus,Europe,0,2.58,33874
Natrix_natrix,Europe,0,2.58,34192
Vipera_berus,Europe,0,2.58,34192
