Species	Status
Acrochordus_dehmi	extinct
Adinophis_fisaka	extinct
Afrotortrix_draaensis	extinct
Agkistrodon_piscivorous	extant
Alamitophis_argentinus	extinct
Alamitophis_elongatus	extinct
Alamitophis_tingamarra	extinct
Albaneryx_depereti	extinct
Albaneryx_volynicus	extinct
Alsophis_cantherigerus	extant
Amananulam_sanogoi	extinct
Amaru_scagliai	extinct
Ameiseophis_robinsoni	extinct
Anilioides_minuatus	extinct
Anilioides_nebraskensis	extinct
Anilius_scytale	extant
Anomalophis_bolcensis	extinct
Archaeophis_proavus	extinct
Archaeophis_turkmenicus	extinct
Arizona_elegans	extant
Arizona_voorhiesi	extinct
Australophis_anilioides	extinct
Austrelaps_superbus	extant
Bavarioboa_bachensis	extinct
Bavarioboa_crocheti	extinct
Bavarioboa_hermi	extinct
Bavarioboa_herrlingensis	extinct
Bavarioboa_minuta	extinct
Bavarioboa_ultima	extinct
Bavarioboa_vaylatsae	extinct
Bitis_arietans	extant
Bitis_olduvaiensis	extinct
Boa_blanchardensis	extinct
Boa_constrictor	extant
Boavus_brevis	extinct
Boavus_idelmani	extinct
Boavus_occidentalis	extinct
Boipeba_tayasuensis	extinct
Borealilysia_carinata	extinct
Borealilysia_gunnelli	extinct
Bransateryx_vireti	extinct
Cadurceryx_filholi	extinct
Cadurceryx_pearchi	extinct
Cadurcoboa_insolita	extinct
Calamagras_angulatus	extinct
Calamagras_floridanus	extinct
Calamagras_gallicus	extinct
Calamagras_murivorus	extinct
Calamagras_platyspondyla	extinct
Calamagras_primus	extinct
Calamagras_talpivorus	extinct
Calamagras_turkestanicus	extinct
Calamagras_weigeli	extinct
Carphophis_amoenus	extant
Cerberophis_robustus	extinct
Charina_bottae	extant
Charina_prebottae	extinct
Cheilophis_huerfanoensis	extinct
Chilabothrus_exsul	extant
Chubutophis_grandis	extinct
Colombophis_portai	extinct
Colombophis_spinosus	extinct
Coluber_cadurci	extinct
Coluber_caspioides	extinct
Coluber_caspius	extant
Coluber_constrictor	extant
Coluber_dolnicensis	extinct
Coluber_hungaricus	extinct
Coluber_planicarinatus	extinct
Coluber_pouchetii	extinct
Coluber_suevicus	extinct
Conantophis_alachuaensis	extinct
Coprophis_dakotaensis	extinct
Corallus_priscus	extinct
Coronella_austriaca	extant
Coronella_girondica	extant
Coronella_miocaenica	extinct
Crotalus_adamanteus	extant
Crotalus_atrox	extant
Crotalus_horridus	extant
Crotalus_viridis	extant
Cubophis_vudii	extant
Dakotaophis_greeni	extinct
Dawsonophis_wyomingensis	extinct
Diablophis_gilmorei	extinct
Diadophis_elinorae	extinct
Diadophis_punctatus	extant
Dinilysia_patagonica	extinct
Ditypophis_vivax	extant
Dryinoides_oxyrhachis	extinct
Drymarchon_corais	extant
Dunnophis_cadurcensis	extinct
Dunnophis_matronensis	extinct
Dunnophis_microechinis	extinct
Elaphe_kormosi	extinct
Elaphe_paralongissima	extinct
