Taxon_name	Status	max_ma	min_ma	site
Pterosphenus_schucherti	extinct	41.2	37.71	3534
Pterosphenus_schucherti	extinct	37.71	33.9	6802
Haasiophis_terrasanctus	extinct	100.5	93.9	11804
Pachyrhachis_problematicus	extinct	100.5	93.9	11804
Cadurceryx_filholi	extinct	41.2	37.71	12840
Dunnophis_cadurcensis	extinct	41.2	37.71	12840
Palaeopython_cadurcensis	extinct	41.2	37.71	12840
Platyspondylia_sudrei	extinct	41.2	37.71	12840
Cadurceryx_filholi	extinct	37.71	33.9	12841
Dunnophis_cadurcensis	extinct	37.71	33.9	12841
Eoanilius_europae	extinct	37.71	33.9	12841
Palaeopython_cadurcensis	extinct	37.71	33.9	12841
Cadurcoboa_insolita	extinct	37.71	33.9	12842
Dunnophis_cadurcensis	extinct	37.71	33.9	12842
Cadurcoboa_insolita	extinct	37.71	33.9	12843
Dunnophis_cadurcensis	extinct	37.71	33.9	12843
Palaeopython_cadurcensis	extinct	37.71	33.9	12843
Phosphoroboa_filholi	extinct	37.71	33.9	12846
Cadurceryx_filholi	extinct	37.71	33.9	12849
Dunnophis_cadurcensis	extinct	37.71	33.9	12849
Eoanilius_europae	extinct	37.71	33.9	12849
Palaeopython_cadurcensis	extinct	37.71	33.9	12849
Cadurceryx_filholi	extinct	37.71	33.9	12850
Dunnophis_cadurcensis	extinct	37.71	33.9	12850
Eoanilius_europae	extinct	37.71	33.9	12850
Palaeopython_cadurcensis	extinct	37.71	33.9	12850
Cadurceryx_filholi	extinct	37.71	33.9	12852
Cadurcoboa_insolita	extinct	37.71	33.9	12852
Eoanilius_europae	extinct	37.71	33.9	12852
Palaeopython_cadurcensis	extinct	37.71	33.9	12852
Carphophis_amoenus	extant	0.129	0.0117	13066
Crotalus_horridus	extant	0.129	0.0117	13066
Diadophis_punctatus	extant	0.129	0.0117	13066
Heterodon_platyrhinos	extant	0.129	0.0117	13066
Lampropeltis_getula	extant	0.129	0.0117	13066
Lampropeltis_triangulum	extant	0.129	0.0117	13066
Nerodia_sipedon	extant	0.129	0.0117	13066
Thamnophis_sirtalis	extant	0.129	0.0117	13066
Dryinoides_oxyrhachis	extinct	16.3	12.5	13095
Palaeophis_longus	extinct	56	47.8	13299
