Taxon_name	Paleo_lat	Anilioidea_Tropidophiidae	Madtsoiidae	Typhlopoidea	Non_colubroidean_caenophidians	Colubroidea_Elapoidea	Constrictores	Unknown
Coluber_cadurci	0.042997539	0	0	0	0	1	0	0
Floridaophis_auffenbergi	-0.526111397	0	0	0	0	1	0	0
Nebraskophis_skinneri	-0.005070465	0	0	0	0	1	0	0
Procerophis_sahnii	-1.893514265	0	0	0	0	1	0	0
Texasophis_bohemiacus	0.312340614	0	0	0	0	1	0	0
Texasophis_galbreathi	-0.021093132	0	0	0	0	1	0	0
Texasophis_hecki	0.302605322	0	0	0	0	1	0	0
Acrochordus_dehmi	-0.822632162	0	0	0	1	0	0	0
Adinophis_fisaka	-2.944925786	0	1	0	0	0	0	0
Afrotortrix_draaensis	-0.740693455	1	0	0	0	0	0	0
Agkistrodon_piscivorous	-0.603993732	0	0	0	1	0	0	0
Alamitophis_argentinus	-3.488885218	0	1	0	0	0	0	0
Alamitophis_elongatus	-3.392749211	0	1	0	0	0	0	0
Alamitophis_tingamarra	-3.636942782	0	1	0	0	0	0	0
Albaneryx_depereti	0.042997539	0	0	0	0	0	1	0
Albaneryx_volynicus	0.258188053	0	0	0	0	0	1	0
Alsophis_cantherigerus	-0.94432331	0	0	0	0	1	0	0
Amananulam_sanogoi	-1.367402868	0	0	0	0	0	0	1
Amaru_scagliai	-2.879212566	0	0	0	0	0	0	1
Ameiseophis_robinsoni	0.030828424	0	0	0	0	1	0	0
Anilioides_minuatus	-1.827615375	1	0	0	0	0	0	0
Anilioides_nebraskensis	-0.00283946	1	0	0	0	0	0	0
Anilius_scytale	-1.271266861	1	0	0	0	0	0	0
Anomalophis_bolcensis	-0.215798969	0	0	0	1	0	0	0
Archaeophis_proavus	-0.215798969	0	0	0	0	0	0	1
Archaeophis_turkmenicus	-0.262041606	0	0	0	0	0	0	1
Arizona_elegans	-0.454922076	0	0	0	0	1	0	0
Arizona_voorhiesi	-0.040158079	0	0	0	0	1	0	0
Australophis_anilioides	-3.398225313	1	0	0	0	0	0	0
Austrelaps_superbus	-3.229683073	0	0	0	0	1	0	0
Bavarioboa_bachensis	0.055977928	0	0	0	0	0	1	0
Bavarioboa_crocheti	0.062265304	0	0	0	0	0	1	0
Bavarioboa_hermi	0.277861455	0	0	0	0	0	1	0
Bavarioboa_herrlingensis	0.227562447	0	0	0	0	0	1	0
Bavarioboa_minuta	0.227562447	0	0	0	0	0	1	0
Bavarioboa_ultima	0.266909252	0	0	0	0	0	1	0
Bavarioboa_vaylatsae	0.051515919	0	0	0	0	0	1	0
Bitis_arietans	-1.864916846	0	0	0	1	0	0	0
Bitis_olduvaiensis	-1.851733638	0	0	0	1	0	0	0
Boa_blanchardensis	-1.08426813	0	0	0	0	0	1	0
Boa_constrictor	-0.99137722	0	0	0	0	0	1	0
Boavus_brevis	0.098975467	0	0	0	0	0	1	0
Boavus_idelmani	0.111550219	0	0	0	0	0	1	0
Boavus_occidentalis	0.098975467	0	0	0	0	0	1	0
Boipeba_tayasuensis	-2.709656233	0	0	1	0	0	0	0
Borealilysia_carinata	0.143189918	1	0	0	0	0	0	0
Borealilysia_gunnelli	0.100192379	1	0	0	0	0	0	0
Bransateryx_vireti	0.212959509	0	0	0	0	0	1	0
Cadurceryx_filholi	0.010140929	0	0	0	0	0	1	0
Cadurceryx_pearchi	0.265286703	0	0	0	0	0	1	0
Cadurcoboa_insolita	0.010140929	0	0	0	0	0	1	0
Calamagras_angulatus	0	0	0	0	0	0	1	0
Calamagras_floridanus	-0.509885911	0	0	0	0	0	0	1
Calamagras_gallicus	0.080113339	0	0	0	0	0	1	0
Calamagras_murivorus	-0.029611513	0	0	0	0	0	1	0
Calamagras_platyspondyla	-0.00141973	0	0	0	0	0	1	0
Calamagras_primus	0.124733427	0	0	0	0	0	1	0
Calamagras_turkestanicus	-0.07139214	0	0	0	0	0	1	0
Calamagras_weigeli	0.054558198	0	0	0	0	0	1	0
Carphophis_amoenus	-0.341140852	0	0	0	0	1	0	0
Cerberophis_robustus	0.476218027	0	0	0	0	0	0	1
Charina_bottae	-0.07139214	0	0	0	0	0	1	0
Charina_prebottae	0.04137499	0	0	0	0	0	1	0
Cheilophis_huerfanoensis	-0.061859667	0	0	0	0	0	1	0
Chilabothrus_exsul	-0.665244943	0	0	0	0	0	1	0
Chubutophis_grandis	-3.686024879	0	0	0	0	0	1	0
Colombophis_portai	-1.620926094	1	0	0	0	0	0	0
Colombophis_spinosus	-1.905886199	1	0	0	0	0	0	0
Coluber_caspioides	0.245410482	0	0	0	0	1	0	0
Coluber_caspius	0.195922749	0	0	0	0	1	0	0
Coluber_constrictor	-0.217827155	0	0	0	0	1	0	0
Coluber_dolnicensis	0.312340614	0	0	0	0	1	0	0
Coluber_hungaricus	0.171990156	0	0	0	0	1	0	0
Coluber_planicarinatus	0.173207068	0	0	0	0	1	0	0
Coluber_pouchetii	0.057600477	0	0	0	0	1	0	0
Coluber_suevicus	0.291044663	0	0	0	0	1	0	0
Conantophis_alachuaensis	-0.526111397	0	0	0	0	0	0	1
Coprophis_dakotaensis	0.072609052	0	0	0	0	0	0	1
Corallus_priscus	-2.743324117	0	0	0	0	0	1	0
Coronella_austriaca	0.233647005	0	0	0	0	1	0	0
Coronella_girondica	-0.062670941	0	0	0	0	1	0	0
Coronella_miocaenica	0.16996197	0	0	0	0	1	0	0
Crotalus_adamanteus	-0.574990675	0	0	0	1	0	0	0
Crotalus_atrox	-0.41577809	0	0	0	1	0	0	0
Crotalus_horridus	-0.16144359	0	0	0	1	0	0	0
Crotalus_viridis	-0.217421518	0	0	0	1	0	0	0
Cubophis_vudii	-0.699724102	0	0	0	0	1	0	0
Dakotaophis_greeni	0.030828424	0	0	0	0	1	0	0
Dawsonophis_wyomingensis	0.12858698	0	0	0	0	0	1	0
Diablophis_gilmorei	-0.269748712	0	0	0	0	0	0	1
Diadophis_elinorae	-0.51150846	0	0	0	0	1	0	0
Diadophis_punctatus	-0.330594286	0	0	0	0	1	0	0
Dinilysia_patagonica	-3.496186687	0	0	0	0	0	0	1
Ditypophis_vivax	-1.218331212	0	0	0	0	1	0	0
Dryinoides_oxyrhachis	0.15292521	0	0	0	0	1	0	0
Drymarchon_corais	-0.548015804	0	0	0	0	1	0	0
Dunnophis_cadurcensis	0.009735292	1	0	0	0	0	0	0
Dunnophis_matronensis	0.080113339	1	0	0	0	0	0	0
Dunnophis_microechinis	0.150491387	1	0	0	0	0	0	0
Elaphe_kormosi	0.194705837	0	0	0	0	1	0	0
Elaphe_paralongissima	0.397930055	0	0	0	0	1	0	0
Elaphe_quatuorlineata	0.173815523	0	0	0	0	1	0	0
Eoanilius_europae	0.010140929	1	0	0	0	0	0	0
Eoanilius_oligocenicus	0.040158079	1	0	0	0	0	0	0
Eoconstrictor_fischeri	0.143189918	0	0	0	0	0	1	0
Eoconstrictor_spinifer	0.232430093	0	0	0	0	0	1	0
Eomadtsoia_ragei	-3.560277358	0	1	0	0	0	0	0
Eophis_underwoodi	-0.050299008	0	0	0	0	0	0	1
Eryx_linxiaensis	-0.29570949	0	0	0	0	0	1	0
Eunectes_stirtoni	-1.620926094	0	0	0	0	0	1	0
Eupodophis_descouensi	-1.209812831	0	0	0	0	0	0	1
Falseryx_neervelpensis	0.305039145	1	0	0	0	0	0	0
Falseryx_petersbuchi	0.296115127	1	0	0	0	0	0	0
Farancia_abacura	-0.615939746	0	0	0	0	1	0	0
Gaimanophis_powelli	-2.964193551	0	0	0	0	0	1	0
Gaimanophis_tenuis	-3.508761439	0	0	0	0	0	1	0
Geringophis_depressus	0.025555141	0	0	0	0	0	1	0
Geringophis_robustus	-0.526111397	0	0	0	0	0	1	0
Geringophis_vetus	0.018253672	0	0	0	0	0	1	0
Geringophis_yatkolae	0.026366415	0	0	0	0	0	1	0
Gigantophis_garstini	-0.72000596	0	1	0	0	0	0	0
Goinophis_minusculus	-0.00283946	0	0	0	0	0	0	1
Haasiophis_terrasanctus	-1.293171268	0	0	0	0	0	0	1
Headonophis_harrisoni	0.261230331	0	0	0	0	0	0	1
Hechtophis_austrinus	-2.743324117	0	0	0	0	0	1	0
Helagras_orellanensis	0.058006114	0	0	0	0	0	1	0
Helagras_prisciformis	0.018862128	0	0	0	0	0	1	0
Herensugea_caristiorum	-0.375214374	0	1	0	0	0	0	0
Heterodon_brevis	-0.51150846	0	0	0	0	1	0	0
Heterodon_nasicus	-0.213770784	0	0	0	0	1	0	0
Heterodon_platyrhinos	-0.214582058	0	0	0	0	1	0	0
Heterodon_plionasicus	-0.216001788	0	0	0	0	1	0	0
Heterodon_simus	-0.541931247	0	0	0	0	1	0	0
Hibernophis_breithaupti	0.079910521	0	0	0	0	0	0	1
Hierophis_viridiflavus	0.127775706	0	0	0	0	1	0	0
Hordleophis_balconae	0.265286703	0	0	0	0	0	1	0
Huberophis_georgiensis	-0.394684957	0	0	0	0	0	1	0
Incongruelaps_iteratus	-2.810659885	0	0	0	0	1	0	0
Indophis_fanambinana	-2.953444166	0	0	0	0	0	0	1
Indophis_sahnii	-2.857510978	0	0	0	0	0	0	1
Itaboraiophis_depressus	-2.743324117	0	0	0	0	0	1	0
Kataria_anisodonta	-2.576607244	1	0	0	0	0	0	0
Kelyophis_hechti	-2.945331423	0	0	0	0	0	0	1
Krebsophis_thobanus	-1.56008052	0	0	0	1	0	0	0
Lampropeltis_calligaster	-0.219449704	0	0	0	0	1	0	0
Lampropeltis_getula	-0.261230331	0	0	0	0	1	0	0
Lampropeltis_intermedius	-0.924447089	0	0	0	0	1	0	0
Lampropeltis_similis	0.030422787	0	0	0	0	1	0	0
Lampropeltis_triangulum	-0.139539183	0	0	0	0	1	0	0
Lampropeltis_vetustum	-0.51150846	0	0	0	0	1	0	0
Laophis_crotaloides	-0.086400715	0	0	0	1	0	0	0
Lapparentophis_defrennei	-1.169857571	0	0	0	0	0	0	1
Lapparentophis_ragei	-1.002735061	0	0	0	0	0	0	1
Liasis_dubudingala	-2.64150919	0	0	0	0	0	1	0
Lithophis_sargenti	0.098975467	0	0	0	0	0	1	0
Lunaophis_aquaticus	-1.672442013	0	0	0	0	0	0	1
Macrovipera_gedulyi	0.170976063	0	0	0	1	0	0	0
Macrovipera_ukrainica	0.313963162	0	0	0	1	0	0	0
Madtsoia_bai	-3.626801852	0	1	0	0	0	0	0
Madtsoia_camposi	-2.743324117	0	1	0	0	0	0	0
Madtsoia_madagascariensis	-2.944925786	0	1	0	0	0	0	0
Madtsoia_pisdurensis	-2.848789779	0	1	0	0	0	0	0
Malpolon_monspessulanus	0.017848035	0	0	0	0	1	0	0
Menarana_laurasiae	-0.375214374	0	1	0	0	0	0	0
Menarana_nosymena	-2.944925786	0	1	0	0	0	0	0
Mesophis_nopcsai	-0.731363801	0	0	0	0	0	0	1
Messelophis_variatus	0.173612705	0	0	0	0	0	1	0
Messelopython_freyi	0.173612705	0	0	0	0	0	1	0
Michauxophis_occitanus	0.036507344	1	0	0	0	0	0	0
Micronatrix_juliescottae	0.019470584	0	0	0	0	1	0	0
Micrurus_gallicus	0.130209529	0	0	0	0	1	0	0
Miocoluber_dalquesti	-0.25149504	0	0	0	0	1	0	0
Morelia_riversleighensis	-2.862581442	0	0	0	0	0	1	0
Morelia_spilota	-1.603889333	0	0	0	0	0	1	0
Naja_antiqua	-0.386977851	0	0	0	0	1	0	0
Naja_naja	-1.352394294	0	0	0	0	1	0	0
Naja_romani	0.165297143	0	0	0	0	1	0	0
Najash_rionegrina	-3.624773667	0	0	0	0	0	0	1
Nanowana_godthelpi	-2.95851463	0	1	0	0	0	0	0
Nanowana_schrenki	-2.973320387	0	1	0	0	0	0	0
Natrix_longivertebrata	0.172598612	0	0	0	0	1	0	0
Natrix_maura	-0.012980389	0	0	0	0	1	0	0
Natrix_merkurensis	0.191257921	0	0	0	0	1	0	0
Natrix_mlynarskii	0.047865185	0	0	0	0	1	0	0
Natrix_natrix	0.304025052	0	0	0	0	1	0	0
Natrix_parva	0.402392063	0	0	0	0	1	0	0
Natrix_sansaniensis	0.19713966	0	0	0	0	1	0	0
Neonatrix_crassa	0.130209529	0	0	0	0	1	0	0
Neonatrix_elongata	-0.040158079	0	0	0	0	1	0	0
Neonatrix_europaea	0.093905003	0	0	0	0	1	0	0
Neonatrix_infera	-0.225939898	0	0	0	0	1	0	0
Neonatrix_magna	-0.040158079	0	0	0	0	1	0	0
Neonatrix_nova	0.312340614	0	0	0	0	1	0	0
Nerodia_erythrogaster	-0.359800161	0	0	0	0	1	0	0
