Age	Temperature	K_Pg
0	-1.68644	0
0.1004	-1.68426	0
0.202	-1.68209	0
0.303	-1.68112	0
0.4033	-1.68135	0
0.504	-1.68149	0
0.605	-1.6799	0
0.7078	-1.67493	0
0.808	-1.66572	0
0.9089	-1.65345	0
1.0097	-1.64105	0
1.1106	-1.63174	0
1.211	-1.62605	0
1.312	-1.62237	0
1.413	-1.61986	0
1.5144	-1.61767	0
1.615	-1.61407	0
1.7153	-1.60808	0
1.816	-1.60121	0
1.9162	-1.59562	0
2.017	-1.59045	0
2.117	-1.58519	0
2.217	-1.58036	0
2.318	-1.57795	0
2.4184	-1.5764	0
2.52	-1.57185	0
2.62	-1.56204	0
2.72	-1.54771	0
2.822	-1.52985	0
2.924	-1.51084	0
3.024	-1.4931	0
3.124	-1.47907	0
3.224	-1.47019	0
3.325	-1.46521	0
3.426	-1.4596	0
3.527	-1.45414	0
3.628	-1.45012	0
3.728	-1.44629	0
3.829	-1.4431	0
3.931	-1.44065	0
4.032	-1.43775	0
4.133	-1.43375	0
4.235	-1.43108	0
4.336	-1.43165	0
4.438	-1.4356	0
4.539	-1.44098	0
4.639	-1.4444	0
4.74	-1.44315	0
4.841	-1.4358	0
4.943	-1.42251	0
5.044	-1.40744	0
5.145	-1.39523	0
5.245	-1.38995	0
5.347	-1.39326	0
5.45	-1.40352	0
5.552	-1.41725	0
5.652	-1.42912	0
5.753	-1.43389	0
5.854	-1.42791	0
5.9548	-1.41148	0
6.055	-1.38655	0
6.159	-1.35436	0
6.2599	-1.32303	0
6.3618	-1.2969	0
6.466	-1.2778	0
6.576	-1.2657	0
6.676	-1.25974	0
6.777	-1.25851	0
6.882	-1.26364	0
6.984	-1.27405	0
7.086	-1.28621	0
7.189	-1.29748	0
7.294	-1.30927	0
7.4	-1.3221	0
7.5536	-1.34104	0
7.6869	-1.35648	0
7.8024	-1.36809	0
7.9141	-1.37693	0
8.016	-1.38231	0
8.118	-1.38462	0
8.2259	-1.38401	0
8.327	-1.38132	0
8.428	-1.37729	0
8.5397	-1.37214	0
8.6575	-1.36664	0
8.7967	-1.36063	0
8.9004	-1.35686	0
9.005	-1.35395	0
9.112	-1.35222	0
9.215	-1.35191	0
9.317	-1.35208	0
9.419	-1.35114	0
9.52	-1.34833	0
9.6244	-1.34439	0
9.73	-1.34023	0
9.8404	-1.33613	0
9.9563	-1.33264	0
10.064	-1.33055	0
10.1676	-1.32965	0
10.2903	-1.32959	0
10.4117	-1.33016	0
10.5276	-1.33086	0
10.6353	-1.33129	0
10.753	-1.33112	0
10.9013	-1.32945	0
11.005	-1.32753	0
11.107	-1.32536	0
11.209	-1.3232	0
11.314	-1.32121	0
11.4148	-1.31926	0
11.5158	-1.31674	0
11.618	-1.31316	0
11.7184	-1.30876	0
11.82	-1.30395	0
11.9342	-1.29878	0
12.035	-1.29476	0
12.1426	-1.29099	0
12.26	-1.2874	0
12.3813	-1.28409	0
12.4826	-1.28152	0
12.5845	-1.27894	0
12.685	-1.27554	0
12.787	-1.27024	0
12.888	-1.26328	0
12.99	-1.25524	0
13.096	-1.24684	0
13.1994	-1.23942	0
13.3	-1.23397	0
13.4045	-1.23011	0
13.5087	-1.22592	0
13.6144	-1.21812	0
13.7208	-1.20602	0
13.8272	-1.19064	0
13.9296	-1.17334	0
14.04	-1.15219	0
14.14	-1.13103	0
14.2434	-1.10784	0
14.3511	-1.08438	0
14.4549	-1.06471	0
14.5599	-1.04997	0
14.6676	-1.04126	0
14.7687	-1.03878	0
14.87	-1.04152	0
14.9705	-1.04717	0
15.073	-1.05163	0
15.1819	-1.05231	0
15.2878	-1.05043	0
15.3937	-1.04796	0
15.4995	-1.04672	0
15.6	-1.04712	0
15.7035	-1.04808	0
15.8053	-1.0484	0
15.9064	-1.04703	0
16.0131	-1.0433	0
16.12	-1.03877	0
16.2229	-1.03544	0
16.3251	-1.03478	0
16.4287	-1.03753	0
16.54	-1.04273	0
16.647	-1.04807	0
16.75	-1.05185	0
16.85	-1.05302	0
16.9525	-1.05175	0
17.0701	-1.04764	0
17.1945	-1.04082	0
17.31	-1.03274	0
17.4336	-1.02283	0
17.5573	-1.01223	0
17.66	-1.00341	0
17.7731	-0.9942	0
17.88	-0.98646	0
18	-0.97948	0
18.1	-0.97549	0
18.21	-0.97351	0
18.32	-0.97453	0
18.4302	-0.97907	0
18.5906	-0.99184	0
18.7056	-1.00461	0
18.8166	-1.01903	0
18.9295	-1.03515	0
19.0386	-1.05149	0
19.1736	-1.07185	0
19.2765	-1.0868	0
19.4	-1.1033	0
19.5	-1.11497	0
19.6145	-1.12614	0
19.7338	-1.13536	0
19.8682	-1.14295	0
19.9854	-1.14728	0
20.0997	-1.14956	0
20.2067	-1.15007	0
