Age	Temperature	K_Pg
0	1.795938656	0
1	1.286085685	0
2	1.209209638	0
3	1.252520024	0
4	1.213996949	0
5	1.07243158	0
6	0.6434824891	0
7	0.6532792159	0
8	0.1712778101	0
9	-0.006171742606	0
10	-0.376065942	0
11	0.1734309236	0
12	0.7498476446	0
13	1.36564467	0
14	1.312561439	0
15	1.020274707	0
16	0.7204860221	0
17	0.07474899192	0
18	0.4989103348	0
19	0.3068749477	0
20	0.3253081591	0
21	0.9393757468	0
22	1.012429434	0
23	0.628507869	0
24	0.7730603895	0
25	1.244783985	0
26	1.202209437	0
27	1.581297673	0
28	0.7898438979	0
29	1.54882267	0
30	1.173511325	0
31	1.160732862	0
32	1.652151056	0
33	1.626129128	0
34	1.59567618	0
35	0.9149468241	0
36	1.681241785	0
37	0.31009094	0
38	0.1244015867	0
39	0.4343759224	0
40	0.5721848966	0
41	0.02142097396	0
42	0.6269423508	0
43	1.143258574	0
44	0.3535556587	0
45	-0.1065425035	0
46	0.2894288856	0
47	1.206195843	0
48	0.9356006797	0
49	0.2974311586	0
50	1.032920799	0
51	1.808872035	0
52	0.1798900506	0
53	0.7834146305	0
54	0.2039050244	0
55	-0.1549229417	0
56	-0.0231689271	0
57	0.3879408839	0
58	-0.1450294898	0
59	0.2421501145	0
60	0.6141872073	0
61	0.4315004506	0
62	0.2809994809	0
63	-0.001339382488	0
64	0.31857014	1
65	0.2961488335	1
66	-0.1844186259	1
67	-0.238358055	0
68	-0.3485353501	0
69	-0.1393646719	0
70	-0.008408698609	0
71	0.03181922413	0
72	0.1320574034	0
73	-0.01768222024	0
74	-0.1909762597	0
75	-0.8401794501	0
76	-0.7221384822	0
77	-0.9286964254	0
78	-0.2824555835	0
79	-0.08078175987	0
80	-0.8435646361	0
81	-1.005636409	0
82	-1.198298243	0
83	-0.9850273801	0
84	-1.352247676	0
85	-1.765994984	0
86	-1.640454222	0
87	-2.235164001	0
88	-2.2138407	0
89	-2.318206448	0
90	-2.63993199	0
91	-2.01839275	0
92	-2.788394967	0
93	-2.393401567	0
94	-2.271476291	0
95	-1.361003414	0
96	-1.751354089	0
97	-1.897426636	0
98	-1.586041609	0
99	-1.979369075	0
100	-1.620351989	0
101	-1.588294484	0
102	-0.9960451557	0
103	-1.320200176	0
104	-1.266127406	0
105	-1.16123024	0
106	-1.175049322	0
107	-1.091034971	0
108	0.1540618712	0
109	-0.5563397213	0
110	0.06485407783	0
111	0.02662379165	0
112	0.3087665416	0
113	-0.2404692563	0
114	0.8766724764	0
115	1.028044632	0
116	0.8639844146	0
117	-1.570039909	0
118	0.9741195891	0
119	0.7246041908	0
120	0.5122743362	0
121	0.4429204095	0
122	0.3940090969	0
123	-0.07358463821	0
124	-0.5684420136	0
125	-0.1556270733	0
126	0.226025694	0
127	0.5274251385	0
128	0.6149352565	0
129	-0.6656514326	0
130	0.2828396979	0
131	0.5331085068	0
132	0.4557496879	0
133	0.4894935629	0
134	0.6856984073	0
135	-1.870779973	0
136	0.5349326822	0
137	0.3570952943	0
138	-0.07314256619	0
139	0.5296270262	0
140	-1.806040018	0
141	-0.09772068452	0
142	-0.2667968271	0
143	0.2235239864	0
144	0.6266937337	0
145	-0.3480820205	0
146	-0.5380159687	0
147	0.04013535174	0
148	-0.1861673815	0
149	-0.7590073152	0
150	-0.05263371316	0
151	-0.677882412	0
152	-1.549495325	0
153	0.05413894733	0
154	0.2556563471	0
155	0.07428366667	0
156	0.4613552238	0
157	-0.4464106838	0
158	-0.1254787336	0	
159	0.75824754470	0
160	0.09255171215	0
161	0.9087258423	0
162	0.5327509099	0
163	0.03573302056	0
164	-0.1152636441	0
165	0.1217025761	0
166	-0.9683878184	0
167	0.6676915826	0
168	0.07890350015	0
