species,age_min,age_max,Rotated latitude
Nidophis insularis,66,72.1,-
Colombophis portai,7.246,11.63,-10.32
Colombophis spinosus,7.246,11.63,-10.32
Rukwanyoka holmani,23.03,27.82,-11.34
Palaeophis africanus,41.2,47.8,-11.42
Pterosphenus schucherti ,41.2,47.8,-11.42
Palaeophis africanus,41.2,47.8,-11.50
Natrix natrix,0.0117,0.129,-13.81
Zamenis longissimus,0.129,0.774,-18.77
Crotalus adamanteus,0.0117,0.129,-19.71
Kataria anisodonta,61.6,66,-20.91
Indophis sahnii,66,72.1,-21.31
Liasis dubudingala,3.6,5.333,-22.51
Liasis dubudingala,3.6,5.333,-22.51
Liasis dubudingala,3.6,5.333,-22.51
Liasis dubudingala,3.6,5.333,-22.51
Sanajeh indicus,66,72.1,-22.79
Boipeba tayasuensis,66,83.6,-24.19
Corallus priscus,47.8,59.2,-25.02
Hechtophis austrinus,47.8,59.2,-25.02
Itaboraiophis depressus,47.8,59.2,-25.02
Madtsoia camposi,47.8,59.2,-25.02
Paraungaliophis pricei,47.8,59.2,-25.02
Paraungaliophis pricei,47.8,59.2,-25.02
Paulacoutophis perplexus,47.8,59.2,-25.02
Waincophis cameratus,47.8,59.2,-25.02
Waincophis cameratus,47.8,59.2,-25.02
Waincophis pressulus,47.8,59.2,-25.02
Waincophis pressulus,47.8,59.2,-25.02
Incongruelaps iteratus,7.246,11.63,-25.40
Powellophis andina,56,61.6,-25.99
Morelia riversleighensis,11.63,15.98,-26.04
Morelia riversleighensis,11.63,15.98,-26.04
Yurlunggur camfieldensis,11.63,15.98,-26.04
Indophis sahnii,66,72.1,-26.71
Madtsoia pisdurensis,66,72.1,-27.62
Madtsoia pisdurensis,66,72.1,-27.62
Incongruelaps iteratus,11.63,15.98,-27.96
Morelia riversleighensis,11.63,15.98,-27.96
Morelia riversleighensis,11.63,15.98,-27.96
Morelia riversleighensis,11.63,15.98,-27.96
Morelia riversleighensis,11.63,15.98,-27.96
Morelia riversleighensis,11.63,15.98,-27.96
Morelia riversleighensis,11.63,15.98,-27.96
Morelia spilota,11.63,15.98,-27.96
Amaru scagliai,47.8,56,-28.37
Boa constrictor,0.0117,0.3,-28.60
Python sebae,11.63,15.98,-28.83
Indophis sahnii,66,72.1,-28.96
Indophis sahnii,66,72.1,-28.96
Morelia riversleighensis,15.98,20.44,-29.76
Madtsoia madagascariensis,66,72.1,-29.82
Nanowana godthelpi,15.98,20.44,-29.82
Nanowana schrenki,15.98,20.44,-29.82
Wonambi barriei,15.98,20.44,-29.82
Wonambi barriei,15.98,20.44,-29.82
Madtsoia madagascariensis,66,72.1,-29.88
Nanowana godthelpi,15.98,23.03,-29.96
Adinophis fisaka,66,72.1,-29.99
Adinophis fisaka,66,72.1,-29.99
Kelyophis hechti,66,72.1,-29.99
Madtsoia madagascariensis,66,72.1,-29.99
Madtsoia madagascariensis,66,72.1,-29.99
Madtsoia madagascariensis,66,72.1,-29.99
Madtsoia madagascariensis,66,72.1,-29.99
Madtsoia madagascariensis,66,72.1,-29.99
Madtsoia madagascariensis,66,72.1,-29.99
Menarana nosymena,66,72.1,-29.99
Menarana nosymena,66,72.1,-29.99
Menarana nosymena,66,72.1,-29.99
Bitis olduvaiensis,0.774,1.8,-3.04
Bitis arietans,2.58,5.333,-3.33
Python sebae,2.58,5.333,-3.33
Bitis arietans,2.58,3.6,-3.40
Kelyophis hechti,66,72.1,-30.00
Madtsoia madagascariensis,66,72.1,-30.00
Madtsoia madagascariensis,66,72.1,-30.00
Madtsoia madagascariensis,66,72.1,-30.00
Madtsoia madagascariensis,66,72.1,-30.00
Madtsoia madagascariensis,66,72.1,-30.00
Menarana nosymena,66,72.1,-30.00
Madtsoia madagascariensis,66,72.1,-30.08
Indophis fanambinana,66,72.1,-30.20
Kelyophis hechti,66,72.1,-30.22
Morelia riversleighensis,15.98,23.03,-30.69
Nanowana godthelpi,15.98,23.03,-30.69
Nanowana schrenki,15.98,23.03,-30.69
Wonambi barriei,15.98,23.03,-30.69
Morelia riversleighensis,15.98,23.03,-30.76
Nanowana godthelpi,15.98,23.03,-30.76
Nanowana schrenki,15.98,23.03,-30.76
Wonambi naracoortensis,0.000,2.58,-33.27
Wonambi naracoortensis,0.000,2.58,-33.31
Morelia riversleighensis,23.03,27.82,-33.98
Wonambi naracoortensis,0.000,2.58,-35.41
Austrelaps superbus,0.0117,0.129,-37.01
Pseudechis porphyriacus,0.000,0.129,-37.01
Pseudonaja nuchalis,0.000,0.129,-37.01
Wonambi naracoortensis,0.000,0.129,-37.01
Pseudechis porphyriacus,0.129,0.774,-37.04
Pseudonaja nuchalis,0.129,0.774,-37.04
Wonambi naracoortensis,0.129,0.774,-37.04
Wonambi naracoortensis,0.0117,0.774,-37.04
Wonambi naracoortensis,0.000,2.58,-37.67
Wonambi naracoortensis,0.000,2.58,-37.67
Wonambi naracoortensis,0.000,2.58,-37.70
Pseudechis porphyriacus,0.000,2.58,-37.79
Pseudonaja nuchalis,0.000,2.58,-37.79
Morelia riversleighensis,15.98,23.03,-38.14
Palaeophis vastaniensis,47.8,56,-4.05
Procerophis sahnii,47.8,56,-4.05
Russellophis crassus,47.8,56,-4.05
Palaeophis vastaniensis,47.8,56,-4.09
Palaeophis vastaniensis,47.8,56,-4.09
Platyspondylophis tadkeshwarensis,47.8,56,-4.09
Procerophis sahnii,47.8,56,-4.09
Pterosphenus sheppardi,33.9,37.71,-4.89
Wonambi naracoortensis,3.6,11.63,-40.37
Waincophis australis,13.7,15.4,-40.97
Alamitophis elongatus,66,83.6,-41.03
Australophis anilioides,66,83.6,-41.03
Alamitophis argentinus,66,83.6,-41.30
Australophis anilioides,66,83.6,-41.30
Patagoniophis parvus,66,83.6,-41.30
Alamitophis argentinus,66,83.6,-43.40
Patagoniophis parvus,66,83.6,-43.40
Rionegrophis madtsoioides,66,83.6,-43.40
Dinilysia patagonica,83.6,86.3,-43.58
Dinilysia patagonica,83.6,86.3,-43.58
Dinilysia patagonica,83.6,86.3,-43.58
Dinilysia patagonica,83.6,86.3,-43.62
Gaimanophis tenuis,17.4,20.9,-43.89
Alamitophis argentinus,66,72.1,-45.16
Eomadtsoia ragei,66,72.1,-45.16
Eomadtsoia ragei,66,72.1,-45.16
Eomadtsoia ragei,66,72.1,-45.33
Madtsoia bai,33.9,56,-45.67
Hierophis viridiflavus,0.129,0.774,-45.78
Najash rionegrina,93.9,100.5,-46.75
Najash rionegrina,93.9,100.5,-46.75
Najash rionegrina,93.9,100.5,-46.75
Alamitophis tingamarra,47.8,56,-47.05
Patagoniophis australiensis,47.8,56,-47.05
Waincophis australis,47.9,56,-47.89
Madtsoia bai,37.71,47.8,-47.93
Chubutophis grandis,47.9,56,-48.26
Coronella girondica,0.129,0.774,-5.22
Tropidophis caymanensis,0.0117,0.129,-5.30
Rionegrophis madtsoioides,66,72.1,-51.07
Colombophis spinosus,7.246,11.63,-9.01
Seismophis septentrionalis,93.9,100.5,-9.43
Seismophis septentrionalis,93.9,100.5,-9.43
Palaeophis africanus,41.2,47.8,1.15
Lunaophis aquaticus,93.9,100.5,1.38
Madtsoia madagascariensis,83.6,89.8,1.71
Pterosphenus kutchensis,37.71,41.2,10.31
Pterosphenus kutchensis,37.71,41.2,10.31
Pterosphenus schucherti,37.71,41.2,10.31
Pterosphenus schucherti,37.71,41.2,10.31
Colombophis spinosus,11.63,15.98,10.64
Haasiophis terrasanctus,93.9,100.5,10.73
Pachyrhachis problematicus,93.9,100.5,10.73
Pachyrhachis problematicus,93.9,100.5,10.73
Palaeophis colossaeus,47.8,56,10.95
Palaeophis colossaeus,47.8,56,10.95
Palaeophis colossaeus,47.8,56,10.95
Anilius scytale,2.58,3.6,11.27
Ditypophis vivax,0.000,0.0117,12.57
Ditypophis vivax,0.000,0.0117,12.58
Eupodophis descouensi,93.9,100.5,12.74
Eupodophis descouensi,93.9,100.5,12.83
Lapparentophis defrennei,93.9,145,13.77
Python sebae,0.774,2.58,14.57
Natrix natrix,0.000,0.0117,14.67
Python sebae,0.000,2.58,14.75
Boa blanchardensis,0.0117,0.129,15.87
Natrix natrix,0.129,0.774,15.87
Boa blanchardensis,0.0117,0.129,15.88
Python sebae,5.333,7.246,16.04
Python sebae,3.6,11.63,16.05
Python sebae,0.000,0.0117,16.96
Python sebae,0.000,0.0117,16.96
Boa constrictor,0.000,0.0117,17.01
Xerotyphlops socotranus,0.000,0.0117,17.59
Norisophis begaa,93.9,100.5,17.85
Lapparentophis ragei,93.9,100.5,17.89
Simoliophis libycus,93.9,100.5,19.27
Alsophis cantherigerus,0.000,0.0117,19.29
Alsophis cantherigerus,0.000,0.0117,19.29
Tropidophis caymanensis,0.000,0.0117,19.29
Alsophis cantherigerus,0.000,0.0117,19.31
Alsophis cantherigerus,0.000,0.0117,19.31
Tretanorhinus variabilis,0.000,0.0117,19.31
Alsophis cantherigerus,0.000,0.0117,19.33
Alsophis cantherigerus,0.000,0.0117,19.33
Boa constrictor,0.0117,0.129,19.33
Typhlops caymanensis,0.000,0.0117,19.33
Alsophis cantherigerus,0.000,0.0117,19.35
Sinomicrurus japonicus,0.774,2.58,19.75
Typhlops epactius,0.0117,0.129,19.75
Lampropeltis intermedius,1.4,4.7,19.82
Colombophis portai,10.9,13.7,2.62
Colombophis portai,10.9,13.7,2.64
Colombophis portai,10.9,13.7,2.64
Colombophis portai,10.9,13.7,2.64
Colombophis portai,10.9,13.7,2.65
Colombophis portai,10.9,13.7,2.65
Eunectes stirtoni,10.9,13.7,2.65
Colombophis portai,10.9,13.7,2.67
Colombophis portai,10.9,13.7,2.70
Colombophis portai,10.9,13.7,2.72
Colombophis portai,10.9,13.7,2.72
Colombophis portai,9.9,13.7,2.74
Charina bottae,0.014,0.21,20.01
Gigantophis garstini,33.9,41.2,21.01
Pterosphenus schucherti ,33.9,41.2,21.01
Palaeophis africanus,41.2,47.8,21.92
Acrochordus dehmi,11.63,15.98,22.33
Acrochordus dehmi,11.63,15.98,22.33
Acrochordus dehmi,11.63,15.98,22.33
Pterosphenus schucherti ,37.71,41.2,22.43
Morelia spilota,0.000,0.0117,23.68
Afrotortrix draaensis,41.2,56,24.35
Mesophis nopcsai,93.9,100.5,24.58
Pachyophis woodwardi,93.9,100.5,24.58
Gigantophis garstini,33.9,37.71,24.86
Pterosphenus schucherti ,33.9,37.71,24.86
Gigantophis garstini,33.9,37.71,24.88
Pterosphenus schucherti ,33.9,37.71,24.88
Cubophis vudii,0.000,0.129,25.00
Cubophis vudii,0.000,0.0117,25.36
Cubophis vudii,0.000,0.0117,25.36
Cubophis vudii,0.000,0.0117,25.36
Xenopeltis unicolor,0.0117,0.129,25.36
Xerotyphlops socotranus,0.000,0.0117,25.44
Crotalus adamanteus,0.0117,0.129,25.70
Chilabothrus exsul,0.0117,0.129,26.21
,0.0117,0.129,26.21
Cubophis vudii,0.000,0.0117,26.35
Agkistrodon piscivorous,0.0117,0.129,26.70
Agkistrodon piscivorous,0.0117,0.129,26.70
Crotalus adamanteus,0.0117,0.129,26.70
Farancia abacura,0.0117,0.129,26.70
Lampropeltis getula,0.0117,0.129,26.70
Nerodia sipedon,0.0117,0.129,26.70
Palaeophis maghrebianus,47.8,56,26.75
Palaeophis maghrebianus,47.8,56,27.02
Palaeophis maghrebianus,47.8,56,27.09
Nerodia taxispilota,0.0117,0.129,27.17
Crotalus adamanteus,0.0117,0.129,27.63
Drymarchon corais,0.0117,0.129,27.63
Farancia abacura,0.0117,0.129,27.63
Agkistrodon piscivorous,0.21,1.4,27.72
Agkistrodon piscivorous,0.21,1.4,27.72
Crotalus adamanteus,0.21,1.4,27.72
Lampropeltis getula,0.21,1.4,27.72
Nerodia fasciata,0.21,1.4,27.72
Pantherophis obsoletus,0.21,1.4,27.72
Regina alleni,0.21,1.4,27.72
Crotalus adamanteus,0.0117,0.129,27.79
Drymarchon corais,0.014,0.21,27.79
Nerodia taxispilota,1.4,4.7,27.85
Crotalus adamanteus,0.014,0.21,28.07
Drymarchon corais,0.014,0.21,28.07
Crotalus adamanteus,0.0117,0.129,28.08
Agkistrodon piscivorous,0.0117,0.129,28.79
Carphophis amoenus,0.0117,0.129,28.79
Coluber constrictor,0.0117,0.129,28.79
Crotalus adamanteus,0.0117,0.129,28.79
Heterodon platyrhinos,0.0117,0.129,28.79
Nerodia sipedon,0.0117,0.129,28.79
Crotalus atrox,0.0117,0.129,29.00
Pituophis melanoleucus,0.0117,0.129,29.00
Carphophis amoenus,0.0117,0.129,29.04
Crotalus adamanteus,0.0117,0.129,29.04
Crotalus adamanteus,0.0117,0.129,29.04
Heterodon platyrhinos,0.0117,0.129,29.04
Pantherophis guttatus,0.0117,0.129,29.04
Nerodia erythrogaster,1.8,2.58,29.05
Nerodia floridana,1.8,2.58,29.05
Regina intermedia,1.8,2.58,29.05
Carphophis amoenus,0.014,0.21,29.10
Coluber constrictor,0.014,0.21,29.10
Crotalus adamanteus,0.014,0.21,29.10
Diadophis punctatus,0.014,0.21,29.10
Drymarchon corais,0.014,0.21,29.10
Heterodon platyrhinos,0.014,0.21,29.10
Heterodon simus,0.014,0.21,29.10
Lampropeltis getula,0.014,0.21,29.10
Pantherophis guttatus,0.014,0.21,29.10
Pantherophis obsoletus,0.014,0.21,29.10
Pituophis melanoleucus,0.014,0.21,29.10
Thamnophis sirtalis,0.014,0.21,29.10
Crotalus adamanteus,0.000,2.58,29.16
